,responseid,group,start_date,quiz_start,end_date,quiz_time,age,already_know,nihss_form,nihss_elearning,neuro_work,our_module,score_all,q_base_1_score,q_base_2_score,q_base_3_score,q_base_4_score,q_base_5_score,con_glob_p1_score,con_quest_p1_score,con_con_p1_score,ocul_p1_score,vis_p1_score,fac_p1_score,mot_arm_l_p1_score,mot_arm_r_p1_score,mot_leg_l_p1_score,mot_leg_r_p1_score,atax_p1_score,sens_p1_score,lang_p1_score,dysart_p1_score,exinct_p1_score,con_glob_p2_score,con_quest_p2_score,con_con_p2_score,ocul_p2_score,vis_p2_score,fac_p2_score,mot_arm_l_p2_score,mot_arm_r_p2_score,mot_leg_l_p2_score,mot_leg_r_p2_score,atax_p2_score,sens_p2_score,lang_p2_score,dysart_p2_score,exinct_p2_score,con_glob_p3_score,con_quest_p3_score,con_con_p3_score,ocul_p3_score,vis_p3_score,fac_p3_score,mot_arm_l_p3_score,mot_arm_r_p3_score,mot_leg_l_p3_score,mot_leg_r_p3_score,atax_p3_score,sens_p3_score,lang_p3_score,dysart_p3_score,exinct_p3_score,length,satisfaction,recommend,difficulty
44,52,Video,2020-05-03 09:32:27.008,2020-05-03 10:34:32.999,2020-05-03 11:26:02.752,43.0,25.0,Non,Non,,Non,,43,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,Adéquate,Satisfait,"Oui, très probablement",Neutre / sans opinion
45,117,Video,2020-05-15 10:55:07.264,2020-05-20 12:07:37.000,,24.0,25.0,Non,Non,,Non,,38,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,,,,
46,93,E-Learning,2020-05-12 12:08:23.296,2020-05-12 15:50:26.999,2020-05-13 10:27:30.432,32.0,25.0,Non,Non,,Non,,35,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,Un peu trop longue,Satisfait,Plutôt oui,Facile
47,104,E-Learning,2020-05-13 07:39:17.888,2020-05-20 08:54:29.000,2020-05-20 09:30:08.768,34.0,28.0,Non,Non,,Non,,38,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,Adéquate,Satisfait,Plutôt oui,Facile
48,29,E-Learning,2020-04-29 10:35:11.232,2020-05-23 17:04:42.000,2020-05-23 17:31:45.024,27.0,27.0,Non,Non,,Non,,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,Adéquate,Satisfait,Plutôt oui,Difficile
49,62,Video,2020-05-04 13:52:01.024,2020-05-04 15:24:21.999,2020-05-04 16:05:16.416,41.0,23.0,Non,Non,,Non,,39,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Facile
50,69,E-Learning,2020-05-08 09:47:57.824,2020-05-20 00:18:52.000,2020-05-20 00:48:02.560,30.0,23.0,Non,Non,,Non,,37,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,Adéquate,Neutre / sans opinion,Plutôt oui,Facile
51,78,Video,2020-05-11 16:41:50.848,2020-05-11 17:56:12.999,2020-05-11 18:26:42.304,26.0,24.0,Non,Non,,Non,,35,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,Un peu trop longue,Satisfait,Plutôt oui,Difficile
52,50,Video,2020-05-01 16:50:08.512,2020-05-01 18:53:09.000,,31.0,23.0,Non,Non,,Non,,34,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,,,,
53,24,Video,2020-04-29 08:48:08.704,2020-04-29 11:46:10.999,2020-04-29 12:33:09.120,47.0,27.0,Oui,Non,,Non,,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,Adéquate,Satisfait,Plutôt oui,Neutre / sans opinion
54,39,Video,2020-04-30 06:45:25.120,2020-04-30 07:41:51.000,2020-04-30 08:21:32.288,32.0,26.0,Non,Non,,Non,,38,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,Adéquate,Satisfait,Pas d'opinion,Facile
55,35,E-Learning,2020-04-29 16:11:36.320,2020-05-04 07:17:41.999,2020-05-04 09:32:03.456,,23.0,Oui,Non,,Non,,41,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Facile
56,32,E-Learning,2020-04-29 13:12:28.416,2020-04-29 14:24:30.000,2020-04-29 14:50:46.656,26.0,24.0,Non,Non,,Non,,31,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Neutre / sans opinion
57,144,E-Learning,2020-05-22 09:44:39.168,2020-05-22 10:09:42.000,2020-05-22 12:56:53.504,166.0,23.0,Oui,Oui,Non,Non,,44,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,Un peu trop longue,Satisfait,Plutôt oui,Facile
58,903,E-Learning,,2020-05-12 08:57:41.999,2020-05-12 09:33:17.184,30.0,,,,,,,38,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,Adéquate,Satisfait,"Oui, très probablement",Facile
59,51,E-Learning,2020-05-03 08:20:21.632,2020-05-03 16:34:59.999,2020-05-04 12:39:55.648,,24.0,Non,Non,,Non,,40,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,Adéquate,Très satisfait,"Oui, très probablement",Neutre / sans opinion
